number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_layers,params_units_l0,params_units_l1,params_units_l2,params_units_l3,params_weight_decay,system_attrs_tpe:relative_params:0,state
0,0.4137915403700289,2026-09-13 22:21:54.884988,2026-09-13 22:22:40.746973,0 days 00:00:45.861985,1024,0.35403628889802274,0.00010838581269344756,2,64,256.0,,,0.0008123245085588687,,COMPLETE
1,0.4145671242705759,2026-09-13 22:22:40.747048,2026-09-13 22:22:55.263431,0 days 00:00:14.516383,4096,0.30592644736118974,0.00017258215396625024,1,128,,,,7.523742884534855e-06,,COMPLETE
2,0.41352114665009254,2026-09-13 22:22:55.263483,2026-09-13 22:23:32.363172,0 days 00:00:37.099689,1024,0.08526206184364576,0.00012897950480855554,1,512,,,,0.0007025166339242157,,COMPLETE
3,0.4130473584688443,2026-09-13 22:23:32.363215,2026-09-13 22:24:11.252954,0 days 00:00:38.889739,1024,0.017194260557609198,0.0035067764992972213,1,64,,,,5.975027999960295e-06,,COMPLETE
4,0.41753508291179325,2026-09-13 22:24:11.253009,2026-09-13 22:24:40.125440,0 days 00:00:28.872431,2048,0.13567451588694796,0.0025585868855934266,3,128,256.0,512.0,,1.1756010900231857e-05,,COMPLETE
5,0.41485655481946054,2026-09-13 22:24:40.125481,2026-09-13 22:25:12.746821,0 days 00:00:32.621340,2048,0.1554911608578311,0.00035684261232554244,4,128,128.0,64.0,64.0,0.0001544608907504709,,COMPLETE
6,0.4114614561385573,2026-09-13 22:25:12.746863,2026-09-13 22:25:23.814688,0 days 00:00:11.067825,2048,0.24689779818219537,0.0007728716861851782,1,512,,,,1.9170041589170666e-05,,PRUNED
7,0.416726979356182,2026-09-13 22:25:23.814716,2026-09-13 22:25:51.976169,0 days 00:00:28.161453,2048,0.31670187825521173,0.00302402517740569,3,256,128.0,256.0,,0.0002576417442523316,,COMPLETE
8,0.41159841014620935,2026-09-13 22:25:51.976213,2026-09-13 22:26:22.240913,0 days 00:00:30.264700,1024,0.3515094794475889,0.00041475896984548505,4,64,256.0,64.0,128.0,0.0008228984573308163,,PRUNED
9,0.4042493517564982,2026-09-13 22:26:22.240936,2026-09-13 22:26:30.639820,0 days 00:00:08.398884,4096,0.07244743604561155,0.0006785245383889538,2,256,256.0,,,0.0009056311714376344,,PRUNED
10,0.41685842434803755,2026-09-13 22:26:30.639853,2026-09-13 22:27:23.060888,0 days 00:00:52.421035,1024,0.4250317773072612,0.003912302671401083,3,128,512.0,512.0,,1.0814962758502719e-05,"{""batch_size"": 1024, ""dropout"": 0.4250317773072612, ""lr"": 0.003912302671401083, ""n_layers"": 3, ""units_l0"": 128, ""weight_decay"": 1.0814962758502719e-05}",COMPLETE
11,0.3643599377497638,2026-09-13 22:27:23.060928,2026-09-13 22:27:48.950441,0 days 00:00:25.889513,1024,0.06768966277553462,0.003797983428339264,3,128,512.0,512.0,,1.0201151449099256e-05,"{""batch_size"": 1024, ""dropout"": 0.06768966277553462, ""lr"": 0.003797983428339264, ""n_layers"": 3, ""units_l0"": 128, ""weight_decay"": 1.0201151449099256e-05}",PRUNED
12,0.38984558940038694,2026-09-13 22:27:48.950468,2026-09-13 22:28:03.541936,0 days 00:00:14.591468,2048,0.30221090109974397,0.00200252767214721,3,128,512.0,512.0,,5.08134223439894e-06,"{""batch_size"": 2048, ""dropout"": 0.30221090109974397, ""lr"": 0.00200252767214721, ""n_layers"": 3, ""units_l0"": 128, ""weight_decay"": 5.08134223439894e-06}",PRUNED
13,0.4024627296592275,2026-09-13 22:28:03.541967,2026-09-13 22:28:33.273342,0 days 00:00:29.731375,1024,0.47871183184525024,0.0019483426802307453,4,128,64.0,512.0,512.0,1.5963753056228245e-05,"{""batch_size"": 1024, ""dropout"": 0.47871183184525024, ""lr"": 0.0019483426802307453, ""n_layers"": 4, ""units_l0"": 128, ""weight_decay"": 1.5963753056228245e-05}",PRUNED
14,0.41799030014044464,2026-09-13 22:28:33.273373,2026-09-13 22:29:26.680195,0 days 00:00:53.406822,1024,0.3787006509850202,0.0020561371992343746,3,128,512.0,128.0,,1.7070763977135426e-06,"{""batch_size"": 1024, ""dropout"": 0.3787006509850202, ""lr"": 0.0020561371992343746, ""n_layers"": 3, ""units_l0"": 128, ""weight_decay"": 1.7070763977135426e-06}",COMPLETE
15,0.4159491971885218,2026-09-13 22:29:26.680240,2026-09-13 22:30:19.909734,0 days 00:00:53.229494,1024,0.47640699423547034,0.0036246871818617745,3,512,64.0,128.0,,1.199911955758029e-06,"{""batch_size"": 1024, ""dropout"": 0.47640699423547034, ""lr"": 0.0036246871818617745, ""n_layers"": 3, ""units_l0"": 512, ""weight_decay"": 1.199911955758029e-06}",COMPLETE
16,0.35022431619879546,2026-09-13 22:30:19.909772,2026-09-13 22:30:34.430800,0 days 00:00:14.521028,2048,0.03284247736922011,0.0031271848617320792,3,128,256.0,128.0,,7.874584601484934e-05,"{""batch_size"": 2048, ""dropout"": 0.03284247736922011, ""lr"": 0.0031271848617320792, ""n_layers"": 3, ""units_l0"": 128, ""weight_decay"": 7.874584601484934e-05}",PRUNED
17,0.40696979104805847,2026-09-13 22:30:34.430823,2026-09-13 22:30:50.961380,0 days 00:00:16.530557,2048,0.08125434222284383,0.0016026535096074262,4,128,512.0,128.0,256.0,3.435092609200585e-06,"{""batch_size"": 2048, ""dropout"": 0.08125434222284383, ""lr"": 0.0016026535096074262, ""n_layers"": 4, ""units_l0"": 128, ""weight_decay"": 3.435092609200585e-06}",PRUNED
18,0.4044204697172285,2026-09-13 22:30:50.961406,2026-09-13 22:31:13.618309,0 days 00:00:22.656903,1024,0.30817685482929136,0.0013136856020365098,2,128,256.0,,,1.1418468020366759e-06,"{""batch_size"": 1024, ""dropout"": 0.30817685482929136, ""lr"": 0.0013136856020365098, ""n_layers"": 2, ""units_l0"": 128, ""weight_decay"": 1.1418468020366759e-06}",PRUNED
19,0.37632195258041407,2026-09-13 22:31:13.618335,2026-09-13 22:31:26.389744,0 days 00:00:12.771409,2048,0.19458979651655067,0.003095802564744062,2,128,512.0,,,3.953574479594065e-05,"{""batch_size"": 2048, ""dropout"": 0.19458979651655067, ""lr"": 0.003095802564744062, ""n_layers"": 2, ""units_l0"": 128, ""weight_decay"": 3.953574479594065e-05}",PRUNED
20,0.413679960213938,2026-09-13 22:31:26.389767,2026-09-13 22:31:53.762589,0 days 00:00:27.372822,1024,0.21396200113896227,0.00045964069391249695,3,128,64.0,256.0,,1.797753314603459e-06,"{""batch_size"": 1024, ""dropout"": 0.21396200113896227, ""lr"": 0.00045964069391249695, ""n_layers"": 3, ""units_l0"": 128, ""weight_decay"": 1.797753314603459e-06}",PRUNED
21,0.39537088032201223,2026-09-13 22:31:53.762611,2026-09-13 22:32:24.244311,0 days 00:00:30.481700,1024,0.258220314283161,0.001529882498994855,4,128,512.0,512.0,256.0,2.154154641211891e-06,"{""batch_size"": 1024, ""dropout"": 0.258220314283161, ""lr"": 0.001529882498994855, ""n_layers"": 4, ""units_l0"": 128, ""weight_decay"": 2.154154641211891e-06}",PRUNED
22,0.4082550273816022,2026-09-13 22:32:24.244335,2026-09-13 22:32:48.265594,0 days 00:00:24.021259,1024,0.49663083710267447,0.003147946598297196,2,128,512.0,,,2.1930983222588042e-05,"{""batch_size"": 1024, ""dropout"": 0.49663083710267447, ""lr"": 0.003147946598297196, ""n_layers"": 2, ""units_l0"": 128, ""weight_decay"": 2.1930983222588042e-05}",PRUNED
23,0.41752883591065376,2026-09-13 22:32:48.265620,2026-09-13 22:33:33.479112,0 days 00:00:45.213492,1024,0.4885326643048785,0.0011914375898065864,2,128,512.0,,,1.0800555594810047e-05,"{""batch_size"": 1024, ""dropout"": 0.4885326643048785, ""lr"": 0.0011914375898065864, ""n_layers"": 2, ""units_l0"": 128, ""weight_decay"": 1.0800555594810047e-05}",COMPLETE
