number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_layers,params_units_l0,params_units_l1,params_units_l2,params_units_l3,params_weight_decay,system_attrs_tpe:relative_params:0,state
0,0.40500782859637247,2026-09-13 18:09:15.480477,2026-09-13 18:10:09.147105,0 days 00:00:53.666628,1024,0.35403628889802274,0.00010838581269344756,2,64,256.0,,,0.0008123245085588687,,COMPLETE
1,0.41148502875539333,2026-09-13 18:10:09.147194,2026-09-13 18:10:22.252617,0 days 00:00:13.105423,4096,0.30592644736118974,0.00017258215396625024,1,128,,,,7.523742884534855e-06,,COMPLETE
2,0.3425506912729337,2026-09-13 18:10:22.252674,2026-09-13 18:11:00.123326,0 days 00:00:37.870652,1024,0.08526206184364576,0.00012897950480855554,1,512,,,,0.0007025166339242157,,COMPLETE
3,0.2797503524753259,2026-09-13 18:11:00.123370,2026-09-13 18:11:39.031279,0 days 00:00:38.907909,1024,0.017194260557609198,0.0035067764992972213,1,64,,,,5.975027999960295e-06,,COMPLETE
4,0.41925737388657064,2026-09-13 18:11:39.031320,2026-09-13 18:12:14.373669,0 days 00:00:35.342349,2048,0.13567451588694796,0.0025585868855934266,3,128,256.0,512.0,,1.1756010900231857e-05,,COMPLETE
5,0.2871858822592948,2026-09-13 18:12:14.373712,2026-09-13 18:12:44.984167,0 days 00:00:30.610455,2048,0.1554911608578311,0.00035684261232554244,4,128,128.0,64.0,64.0,0.0001544608907504709,,PRUNED
6,0.273292999841699,2026-09-13 18:12:44.984198,2026-09-13 18:12:55.656283,0 days 00:00:10.672085,2048,0.24689779818219537,0.0007728716861851782,1,512,,,,1.9170041589170666e-05,,PRUNED
7,0.35885006889059784,2026-09-13 18:12:55.656307,2026-09-13 18:13:13.802030,0 days 00:00:18.145723,2048,0.31670187825521173,0.00302402517740569,3,256,128.0,256.0,,0.0002576417442523316,,PRUNED
8,0.394433908532684,2026-09-13 18:13:13.802056,2026-09-13 18:14:31.999588,0 days 00:01:18.197532,1024,0.3515094794475889,0.00041475896984548505,4,64,256.0,64.0,128.0,0.0008228984573308163,,COMPLETE
9,0.2960887538949042,2026-09-13 18:14:31.999629,2026-09-13 18:14:40.112668,0 days 00:00:08.113039,4096,0.07244743604561155,0.0006785245383889538,2,256,256.0,,,0.0009056311714376344,,PRUNED
10,0.27899539373177157,2026-09-13 18:14:40.112693,2026-09-13 18:15:11.420504,0 days 00:00:31.307811,1024,0.4250317773072612,0.003912302671401083,3,128,512.0,512.0,,1.0814962758502719e-05,"{""batch_size"": 1024, ""dropout"": 0.4250317773072612, ""lr"": 0.003912302671401083, ""n_layers"": 3, ""units_l0"": 128, ""weight_decay"": 1.0814962758502719e-05}",PRUNED
11,0.2897878058570978,2026-09-13 18:15:11.420534,2026-09-13 18:15:17.929052,0 days 00:00:06.508518,4096,0.32645800717887646,0.002645927441715916,1,128,,,,1.531259353473106e-06,"{""batch_size"": 4096, ""dropout"": 0.32645800717887646, ""lr"": 0.002645927441715916, ""n_layers"": 1, ""units_l0"": 128, ""weight_decay"": 1.531259353473106e-06}",PRUNED
12,0.3914233242472516,2026-09-13 18:15:17.929075,2026-09-13 18:15:31.130812,0 days 00:00:13.201737,4096,0.011607123357614657,0.00021033004511071066,1,128,,,,2.666107899555533e-06,"{""batch_size"": 4096, ""dropout"": 0.011607123357614657, ""lr"": 0.00021033004511071066, ""n_layers"": 1, ""units_l0"": 128, ""weight_decay"": 2.666107899555533e-06}",COMPLETE
13,0.4074764269703876,2026-09-13 18:15:31.130860,2026-09-13 18:15:44.235438,0 days 00:00:13.104578,4096,0.48041932846186375,0.0002963172512605038,1,128,,,,2.026310592165297e-06,"{""batch_size"": 4096, ""dropout"": 0.48041932846186375, ""lr"": 0.0002963172512605038, ""n_layers"": 1, ""units_l0"": 128, ""weight_decay"": 2.026310592165297e-06}",COMPLETE
14,0.4008316742590332,2026-09-13 18:15:44.235477,2026-09-13 18:15:57.360027,0 days 00:00:13.124550,4096,0.16733307060200558,0.00010923959005454396,1,128,,,,3.990923551614476e-06,"{""batch_size"": 4096, ""dropout"": 0.16733307060200558, ""lr"": 0.00010923959005454396, ""n_layers"": 1, ""units_l0"": 128, ""weight_decay"": 3.990923551614476e-06}",COMPLETE
15,0.2874486807660992,2026-09-13 18:15:57.360071,2026-09-13 18:16:07.467857,0 days 00:00:10.107786,4096,0.3107730075055721,0.0015886746052712146,3,128,64.0,512.0,,3.425317171536539e-06,"{""batch_size"": 4096, ""dropout"": 0.3107730075055721, ""lr"": 0.0015886746052712146, ""n_layers"": 3, ""units_l0"": 128, ""weight_decay"": 3.425317171536539e-06}",PRUNED
16,0.2935226859119351,2026-09-13 18:16:07.467880,2026-09-13 18:16:27.942244,0 days 00:00:20.474364,2048,0.1776753247252167,0.0010938960635283783,4,128,64.0,128.0,256.0,1.8882475788953222e-05,"{""batch_size"": 2048, ""dropout"": 0.1776753247252167, ""lr"": 0.0010938960635283783, ""n_layers"": 4, ""units_l0"": 128, ""weight_decay"": 1.8882475788953222e-05}",PRUNED
17,0.28830384004424586,2026-09-13 18:16:27.942268,2026-09-13 18:16:41.759998,0 days 00:00:13.817730,2048,0.12990316541634345,0.0010735211374001297,2,128,512.0,,,6.229581565767074e-06,"{""batch_size"": 2048, ""dropout"": 0.12990316541634345, ""lr"": 0.0010735211374001297, ""n_layers"": 2, ""units_l0"": 128, ""weight_decay"": 6.229581565767074e-06}",PRUNED
18,0.4033218821370419,2026-09-13 18:16:41.760026,2026-09-13 18:16:54.799788,0 days 00:00:13.039762,4096,0.2318420808382291,0.00011463807871069742,1,128,,,,2.5981607847467615e-05,"{""batch_size"": 4096, ""dropout"": 0.2318420808382291, ""lr"": 0.00011463807871069742, ""n_layers"": 1, ""units_l0"": 128, ""weight_decay"": 2.5981607847467615e-05}",COMPLETE
19,0.40385848255596873,2026-09-13 18:16:54.799826,2026-09-13 18:17:07.895790,0 days 00:00:13.095964,4096,0.4638627121891039,0.0002482659536337523,1,128,,,,2.3052587044850125e-05,"{""batch_size"": 4096, ""dropout"": 0.4638627121891039, ""lr"": 0.0002482659536337523, ""n_layers"": 1, ""units_l0"": 128, ""weight_decay"": 2.3052587044850125e-05}",COMPLETE
20,0.28798023098025444,2026-09-13 18:17:07.895835,2026-09-13 18:17:18.031584,0 days 00:00:10.135749,4096,0.42301018621866643,0.0020132014017797536,3,128,256.0,512.0,,3.822513449688016e-05,"{""batch_size"": 4096, ""dropout"": 0.42301018621866643, ""lr"": 0.0020132014017797536, ""n_layers"": 3, ""units_l0"": 128, ""weight_decay"": 3.822513449688016e-05}",PRUNED
21,0.40679512242794685,2026-09-13 18:17:18.031606,2026-09-13 18:17:31.167295,0 days 00:00:13.135689,4096,0.4418844298867024,0.00024152269146931687,1,128,,,,3.584451187984584e-06,"{""batch_size"": 4096, ""dropout"": 0.4418844298867024, ""lr"": 0.00024152269146931687, ""n_layers"": 1, ""units_l0"": 128, ""weight_decay"": 3.584451187984584e-06}",COMPLETE
22,0.398564336639663,2026-09-13 18:17:31.167335,2026-09-13 18:17:58.614039,0 days 00:00:27.446704,2048,0.28002650873392027,0.0002618502344556394,2,128,256.0,,,2.7213993108712482e-05,"{""batch_size"": 2048, ""dropout"": 0.28002650873392027, ""lr"": 0.0002618502344556394, ""n_layers"": 2, ""units_l0"": 128, ""weight_decay"": 2.7213993108712482e-05}",COMPLETE
